anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
11013,Inu x Boku SS,Inu X Boku Secret Service,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,Manga,PG-13 - Teens 13 or older,7.63,Winter 2012,David Production,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,My Bride is a Mermaid,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,Manga,PG-13 - Teens 13 or older,7.89,Spring 2007,Gonzo,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,TV,Manga,PG - Children,7.55,Fall 2008,Satelight,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,Princess Tutu,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,TV,Original,PG-13 - Teens 13 or older,8.21,Summer 2002,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,Bakuman.,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,TV,Manga,PG-13 - Teens 13 or older,8.67,Fall 2012,J.C.Staff,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,TV,Manga,G - All Ages,8.03,Fall 2009,Studio Pierrot/Studio Hibari,"Kids, School, Shoujo"
178,Ultra Maniac,Ultramaniac - Magical Girl,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,Manga,G - All Ages,7.26,Spring 2003,Production Reed,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,TV,Light novel,PG-13 - Teens 13 or older,7.72,Fall 2007,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,TV,Manga,PG-13 - Teens 13 or older,8.24,Fall 2008,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,Ouran High School Host Club,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,Manga,PG-13 - Teens 13 or older,8.34,Spring 2006,Bones,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,Junjo Romantica 2,https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,TV,Manga,PG-13 - Teens 13 or older,8.15,Fall 2008,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,Maid Sama!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,TV,Manga,PG-13 - Teens 13 or older,8.2,Spring 2010,J.C.Staff,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World's Greatest First Love 2,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,TV,Manga,PG-13 - Teens 13 or older,8.23,Fall 2011,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,My Little Monster,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,TV,Manga,PG-13 - Teens 13 or older,7.71,Fall 2012,Brain's Base,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,Bleach,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,TV,Manga,PG-13 - Teens 13 or older,7.9,Fall 2004,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
59,Chobits,Chobits,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,TV,Manga,PG-13 - Teens 13 or older,7.53,Spring 2002,Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,TV,Manga,PG-13 - Teens 13 or older,8.13,Fall 2009,Production I.G,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,Naruto: Shippuden,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg,TV,Manga,PG-13 - Teens 13 or older,8.18,Winter 2007,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
